Player,Jersey #,Position,Roster Category,Player Category,Player Status
J. Alba,18,Defender,Senior,International,
N. Allen,32,Defender,Supplemental Slots 29-30,Homegrown,
T. Avilés,6,Defender,Senior,"International, U22 Initiative",
I. Boatwright,62,Defender,,Homegrown,
Y. Bright,42,Defender,,,
S. Busquets,5,Midfielder,Senior,"Designated Player, International",
D. Callender,1,Goalkeeper,Senior,Homegrown,
L. Campana,8,Forward,Senior,Designated Player,
R. Carmichael,91,Forward,,,
J. Casas de Abadal,82,Midfielder,,,
B. Cremaschi,30,Midfielder,Supplemental Slots 21-24,Homegrown,
F. Farías,11,Midfielder,Senior,"International, U22 Initiative",Season Ending Injury
I. Fray,17,Defender,Signed,Homegrown,Unavailable
N. Freire,21,Defender,,International,
L. Frugis Afonso,73,Forward,,,
J. Gressel,24,Defender,Senior,,
D. Gómez,20,Midfielder,Senior,"International, U22 Initiative",
T. Hall,26,Defender,,Homegrown,
C. Jensen,99,Goalkeeper,Supplemental Slots 25-28,,
S. Kryvtsov,27,Defender,Senior,,
D. Martínez,14,Defender,,,
L. Messi,10,Forward,Senior,"Designated Player, International",
S. Morales,81,Midfielder,Supplemental Slots 29-30,Homegrown,
F. Negri,33,Defender,Senior,,
F. Redondo,55,Midfielder,,"International, U22 Initiative",
E. Rodríguez,25,Midfielder,Senior,"International, U22 Initiative",Loaned Out
M. Rojas,7,Midfielder,Senior,International,
D. Ruiz,41,Midfielder,Supplemental Slots 25-28,,
R. Sailor,15,Defender,Signed,,
L. Sunderland,43,Midfielder,Supplemental Slots 25-28,,
L. Suárez,9,Forward,Senior,International,
R. Taylor,16,Midfielder,Senior,,
M. Weigandt,57,Defender,,,
CJ dos Santos,13,Goalkeeper,Supplemental Slots 21-24,,Loaned Out
