Player,Jersey #,Position,Roster Category,Player Category,Player Status
S. Adekugbe,3,Defender,,,
A. Ahmed,22,Defender,Supplemental Slots 21-24,,
M. Anchor,50,Goalkeeper,Supplemental Slots 29-30,Homegrown,
S. Armstrong,26,Midfielder,,,
J. Badwal,59,Midfielder,,,
J. Bendik,17,Goalkeeper,Senior,,
S. Berhalter,16,Midfielder,Supplemental Slots 29-30,Homegrown,
T. Blackmon,6,Defender,Senior,,
I. Boehmer,32,Goalkeeper,Supplemental Slots 25-28,Homegrown,Loaned Out
G. Bovalina,27,Defender,,,
D. Caicedo,7,Forward,Senior,"International, U22 Initiative",Loaned Out
A. Cubas,20,Midfielder,Senior,"International, Designated Player",
N. Fleuriau Chateau,52,Forward,,,
R. Gauld,25,Midfielder,Senior,"International, Designated Player",
E. Goldthorp,41,Midfielder,,,
B. Halbouni,12,Defender,,,
J. Herdman,92,,,,
C. Kachwele,55,,,,
D. Kreilach,19,Midfielder,Senior,International,
M. Laborda,2,Defender,Senior,International,
F. Linder,83,Defender,,,
É. Ocampo,18,Defender,,,
F. Picault,11,Forward,Senior,,
R. Priso,13,Midfielder,Supplemental Slots 25-28,Homegrown,Season Ending Injury
R. Raposo,7,Midfielder,Senior,,
A. Schöpf,8,Midfielder,Senior,International,
Y. Takaoka,1,Goalkeeper,Senior,International,
B. Utvik,15,Defender,,,
R. Veselinović,4,Defender,Senior,International,
P. Vite,45,Midfielder,Signed,"International, U22 Initiative",
B. White,24,Forward,Senior,,
