Player,Jersey #,Position,Roster Category,Player Category,Player Status
L. Abubakar,,Defender,Senior,,
P. Arriola,7,Forward,Senior,,
R. Benetti,,Midfielder,,,
Show,21,Midfielder,,,
A. Carrera,13,Goalkeeper,Signed,Homegrown,Loaned Out
H. Endeley,27,Forward,Supplemental Slots 25-28,,
M. Farfan,4,Defender,Senior,,
L. Farrington,23,Forward,,,
J. Ferreira,10,Forward,Senior,Designated Player,
S. Ibeagha,25,Defender,Senior,,
G. Jesus,2,Defender,,International,
S. Junqua,29,Defender,Senior,,
B. Kamungo,77,Forward,Supplemental Slots 21-24,,
S. Lletget,8,Midfielder,Senior,,
P. Musa,9,Forward,Senior,Designated Player,
N. Norris,32,Defender,Supplemental Slots 29-30,Homegrown,
T. Ntsabeleng,16,Midfielder,Supplemental Slots 21-24,,
M. Paes,30,Goalkeeper,Senior,,
P. Pomykal,19,Midfielder,Senior,,
T. Pondeca,35,Midfielder,Supplemental Slots 25-28,,
A. Ramirez,51,Midfielder,,,
C. Sainte,12,Midfielder,,,
E. Sali,99,Forward,,,
T. Scott,41,Forward,,Homegrown,
N. Tafari,17,Defender,Supplemental Slots 25-28,,
A. Urzua,34,Midfielder,,,
A. Velasco,20,Forward,Senior,"International, Young Designated Player",
