Player,Jersey #,Position,Roster Category,Player Category,Player Status
I. Angulo,77,Forward,Senior,International,
C. Araújo,5,Midfielder,Senior,,
D. Brekalo,4,Defender,Senior,International,
H. Bruseth,18,Midfielder,,,
W. Cartagena,16,Midfielder,Senior,International,
R. Enrique,7,Forward,Senior,U22 Initiative,
A. Freeman,30,Defender,Supplemental Slots 21-24,Homegrown,
P. Gallese,1,Goalkeeper,Senior,International,
G. Gonzalez,22,Forward,Senior,,Loaned Out
M. Halliday,26,Defender,Senior,Homegrown,
R. Jansson,6,Defender,Senior,,
J. Kocevski,33,Midfielder,Supplemental Slots 21-24,,
N. Lodeiro,14,Midfielder,Senior,,
F. Loyola,95,Midfielder,Supplemental Slots 29-30,Homegrown,
Jack Lynn,27,Forward,Supplemental Slots 25-28,,
Felipe,8,Midfielder,Senior,,
D. McGuire,13,Forward,Senior,,
S. Mohammed,23,Midfielder,Supplemental Slots 25-28,"Generation adidas, International",
L. Muriel,9,Forward,Senior,"Designated Player, International",
M. Ojeda,11,Midfielder,Senior,Designated Player,
J. Otero,50,Goalkeeper,Supplemental Slots 21-24,Homegrown,
L. Petrasso,20,Defender,Supplemental Slots 25-28,Homegrown,
T. Reid-Brown,29,Defender,Supplemental Slots 25-28,Homegrown,
A. Salim,28,Defender,Ineligible - On Loan,,
R. Santos,3,Defender,Senior,,
R. Schlegel,15,Defender,Senior,,
K. Smith,24,Defender,Senior,,
M. Stajduhar,31,Goalkeeper,Supplemental Slots 29-30,Homegrown,
D. Thorhallsson,17,Midfielder,Senior,,
F. Torres,10,Forward,Senior,"International, Designated Player",
Y. Tsukada,34,Forward,,,
T. Williams,68,Defender,Supplemental Slots 25-28,Homegrown,
