Player,Jersey #,Position,Roster Category,Player Category,Player Status
F. Bernardeschi,10,Forward,Senior,"Designated Player, International",
Nate Edwards,95,Forward,,,
D. Etienne Jr.,11,Midfielder,Supplemental Slots 25-28,,
D. Flores,20,Midfielder,,,
K. Franklin,19,Defender,Signed,"Homegrown, International",
L. Gavran,90,Goalkeeper,,,
N. Gomis,15,Defender,,,
L. Insigne,24,Forward,Senior,"International, Designated Player",
S. Johnson,1,Goalkeeper,Senior,,
D. Kerr,29,Forward,Supplemental Slots 25-28,Homegrown,
R. Laryea,22,Midfielder,Senior,,
K. Long,5,Defender,,,
M. Longstaff,8,Midfielder,,,
C. Mailula,12,Forward,,,
J. Osorio,21,Midfielder,Senior,Designated Player,
A. Pearlman,51,Defender,,,Unavailable
R. Petretta,28,Defender,Senior,International,
S. Rosted,17,Defender,Senior,International,
C. Sharp,38,Forward,,,
T. Spicer,16,Forward,,,
K. Thompson,47,Midfielder,Supplemental Slots 21-24,Homegrown,
H. Wingo,30,Midfielder,,,
