Player,Jersey #,Position,Roster Category,Player Category,Player Status
K. Acosta,23,Midfielder,Senior,,
A. Arigoni,27,Defender,Senior,International,
T. Barlow,12,Forward,Senior,,
C. Brady,34,Goalkeeper,Senior,Homegrown,
J. Casas,37,Midfielder,Supplemental Slots 25-28,Homegrown,
H. Cuypers,9,Forward,Senior,"Designated Player, International",
R. Czichos,5,Defender,Senior,International,
J. Dean,24,Midfielder,Supplemental Slots 21-24,,
J. Gal,25,Goalkeeper,Supplemental Slots 21-24,,
C. Gasper,77,Defender,Senior,,
G. Giménez,30,Midfielder,Senior,Designated Player,
B. Gutiérrez,17,Midfielder,Senior,"Homegrown, U22 Initiative",
A. Gutman,15,Defender,Senior,Homegrown,
M. Haile-Selassie,7,Midfielder,Senior,International,
F. Herbers,21,Forward,Senior,,
C. Koffi,50,Forward,,,
D. Konincks,42,Defender,,,
G. Koutsias,19,Forward,Senior,"International, U22 Initiative",
A. Lassiter,11,Midfielder,Senior,,
C. Mueller,8,Forward,Senior,,
Federico Navarro,31,Midfielder,Senior,"International, U22 Initiative",
W. Omsberg,16,Defender,Senior,,
S. Oregel,35,Midfielder,Supplemental Slots 25-28,Homegrown,
M. Pineda,22,Defender,Senior,Homegrown,
D. Poreba,48,Midfielder,,,
J. Reynolds,36,Defender,Supplemental Slots 29-30,Homegrown,
S. Richey,18,Goalkeeper,Senior,,
T. Salquist,14,Defender,Senior,International,
J. Shannon,43,Defender,,,
A. Souquet,2,Defender,Senior,,
C. Terán,4,Defender,Senior,,
