Player,Jersey #,Position,Roster Category,Player Category,Player Status
J. Aude,3,Defender,Senior,"U22 Initiative, International",
M. Berry,27,Forward,Senior,,
A. Bibout,29,Forward,,,
G. Brugman,5,Midfielder,Senior,International,Season Ending Injury
E. Cerrillo,20,Midfielder,Senior,Homegrown,
M. Cuevas,19,Defender,Supplemental Slots 21-24,Homegrown,
M. Delgado,8,Midfielder,Senior,,
D. Fagúndez,7,Midfielder,Senior,,
E. Garcés,25,Defender,,,
D. Joveljic,9,Forward,Senior,"International, U22 Initiative",
T. Lepley,21,Forward,,,
J. McCarthy,77,Goalkeeper,Supplemental Slots 21-24,,
N. Micovic,35,Goalkeeper,,International,
J. Neal,24,Defender,Supplemental Slots 29-30,Homegrown,
J. Nelson,14,Defender,Supplemental Slots 25-28,Generation adidas,
J. Paintsil,28,Forward,,,
I. Parente,52,Midfielder,Supplemental Slots 29-30,Homegrown,
Gabriel Pec,11,Forward,,,
R. Puig,10,Midfielder,Senior,"International, Designated Player",
R. Ramos Jr,84,Forward,,,
M. Reus,18,Midfielder,,,
B. Scott,31,Goalkeeper,Senior,,
G. Vivi,30,Midfielder,Supplemental Slots 31,International,
M. Yamane,2,Defender,,,
M. Yoshida,4,Defender,Senior,International,
E. Zavaleta,15,Defender,,,
