Player,Jersey #,Position,Roster Category,Player Category,Player Status
S. Afrifa,30,Forward,Supplemental Slots 25-28,International,
W. Agada,23,Forward,Senior,International,
Z. Bassong,22,Defender,Senior,,
R. Castellanos,19,Defender,Senior,,
J. Davis,17,Midfielder,Supplemental Slots 25-28,Homegrown,
J. Fernández,24,Defender,,,
D. Flores,31,Midfielder,,,
A. Fontàs,3,Defender,Senior,,
T. Leibold,14,Defender,Senior,International,
T. Melia,29,Goalkeeper,Senior,,
L. Ndenbe,18,Defender,Senior,U22 Initiative,
K. Pierre,24,Defender,Supplemental Slots 29-30,Homegrown,
A. Pulido,9,Forward,Senior,Designated Player,
J. Pulskamp,1,Goalkeeper,Supplemental Slots 29-30,Homegrown,
N. Radoja,6,Midfielder,Senior,International,
C. Rindov,28,Defender,Supplemental Slots 25-28,,
M. Rodríguez,8,Midfielder,Senior,Homegrown,
D. Rosero,5,Defender,Senior,International,
J. Russell,7,Forward,Senior,,
D. Sallói,10,Forward,Senior,Homegrown,
R. Schewe,36,Goalkeeper,,,
K. Shelton,11,Forward,Senior,,
E. Thommy,26,Midfielder,Senior,Designated Player,
C. Tschantret,52,Midfielder,,,
A. Vargas,20,Forward,,,
R. Voloder,4,Defender,Senior,"International, U22 Initiative",
R. Walter,54,Midfielder,Senior,,
