Player,Jersey #,Position,Roster Category,Player Category,Player Status
Evander,10,Midfielder,Senior,"International, Designated Player",
Antony,11,Forward,Senior,International,
M. Araujo,2,Defender,,International,
D. Ayala,24,Midfielder,Senior,"International, U22 Initiative",
C. Bravo,5,Defender,Senior,International,
D. Chara,21,Midfielder,Senior,,
M. Crépeau,16,Goalkeeper,Senior,International,
T. Ikoba,17,Forward,Supplemental Slots 25-28,Homegrown,
M. Loría,44,Midfielder,Senior,,
Z. McGraw,18,Defender,Supplemental Slots 21-24,,
E. Miller,15,Defender,Supplemental Slots 21-24,,
K. Miller,4,Defender,Senior,,
F. Mora,9,Forward,Senior,,
S. Moreno,30,Forward,Signed,"International, U22 Initiative",
J. Mosquera,29,Defender,Senior,,
Trey Muse,25,Goalkeeper,,Homegrown,
J. Pantemis,41,Goalkeeper,Supplemental Slots 21-24,Homegrown,
C. Paredes,22,Midfielder,Senior,,
J. Rodríguez,14,Forward,,Designated Player,
H. Sulte,26,Goalkeeper,Supplemental Slots 25-28,Homegrown,Loaned Out
F. Surman,20,Defender,,,
M. Toye,23,Forward,Senior,Generation adidas,
E. Williamson,19,Midfielder,Senior,Homegrown,
D. Zuparic,13,Defender,Senior,,
