Team,Slot Numbers
ATL,10
ATX,7
CHI,7
CIN,7
CLB,10
CLT,14
COL,6
DCU,7
FCD,8
HOU,11
LAFC,14
LAG,13
MIA,14
MIN,11
MTL,10
NER,7
NSH,6
NYC,10
NYRB,10
ORL,8
PHI,6
POR,6
RSL,13
SEA,3
SJE,8
SKC,5
STL,12
TOR,12
VAN,13
