player_name,primary_broad_position,primary_general_position,season_name,base_salary,team_abbreviation,age,American
brian anunga,MF,CM,2024.0,275000.0,NSH,28.0,0
raheem edwards,DF,FB,2024.0,335000.0,MTL,29.0,0
lassi lappalainen,DF,FB,2024.0,720000.0,MTL,26.0,0
gabriele corbo,DF,CB,2024.0,216350.0,MTL,24.0,0
josef martinez,FW,ST,2024.0,1309091.0,MTL,31.0,0
joaquin sosa,DF,CB,2024.0,251500.0,MTL,22.0,0
rida zouhir,MF,CM,2024.0,89716.0,MTL,21.0,0
victor wanyama,MF,CM,2024.0,1440000.0,MTL,33.0,0
russell canouse,MF,CM,2024.0,650000.0,DCU,29.0,1
cristian dajome,DF,FB,2024.0,900000.0,DCU,30.0,0
hayden sargis,DF,CB,2024.0,89716.0,DCU,22.0,1
jeremy garay,FW,ST,2024.0,89716.0,DCU,21.0,1
pedro santos,MF,W,2024.0,450000.0,DCU,36.0,0
tyler miller,GK,GK,2024.0,425000.0,DCU,31.0,1
alex bono,GK,GK,2024.0,200000.0,DCU,30.0,1
martin caceres,DF,CB,2024.0,600000.0,LAG,37.0,0
oscar ustari,GK,GK,2024.0,89716.0,MIA,38.0,0
leo afonso,FW,W,2024.0,71401.0,MIA,23.0,0
pedro amador,DF,FB,2024.0,207000.0,ATL,26.0,0
marlon,DF,CB,2024.0,1350000.0,LAFC,29.0,0
luis muller,FW,W,2024.0,71401.0,LAFC,23.0,0
maxime chanot,DF,CB,2024.0,220000.0,LAFC,35.0,0
hector jimenez,DF,FB,2024.0,89716.0,ATX,36.0,1
gyasi zardes,FW,ST,2024.0,1000000.0,ATX,33.0,1
alex ring,MF,DM,2024.0,1525000.0,ATX,33.0,0
jhojan valencia,MF,DM,2024.0,450000.0,ATX,28.0,0
matt hedges,DF,CB,2024.0,428313.0,ATX,34.0,1
ethan finlay,MF,W,2024.0,262500.0,ATX,34.0,1
andres reyes,DF,CB,2024.0,642000.0,NYRB,25.0,0
cory burke,FW,ST,2024.0,500000.0,NYRB,33.0,0
aidan o'connor,DF,CB,2024.0,71401.0,NYRB,23.0,1
levonte johnson,FW,ST,2024.0,89716.0,VAN,25.0,0
sam adeniran,FW,ST,2024.0,93988.0,PHI,26.0,1
cavan sullivan,MF,AM,2024.0,200000.0,PHI,15.0,1
leon flach,MF,CM,2024.0,300000.0,PHI,23.0,1
jack elliott,DF,CB,2024.0,800000.0,PHI,29.0,0
shane o'neill,DF,CB,2024.0,375000.0,TOR,31.0,1
prince owusu,FW,ST,2024.0,700000.0,TOR,27.0,0
alonso coello,MF,CM,2024.0,89716.0,TOR,25.0,0
aime mabika,DF,CB,2024.0,125000.0,TOR,26.0,0
brandon servania,MF,CM,2024.0,550000.0,TOR,25.0,1
