Player,Jersey #,Position,Roster Category,Player Category,Player Status
Carlos Akapo,29,Defender,Senior,International,
M. Baldisimo,55,Midfielder,Supplemental Slots 21-24,Homegrown,
T. Beason,15,Defender,Senior,,
O. Bouda,17,Forward,Senior,Generation adidas,
V. Costa de Brito,94,Defender,,,
C. Cowell,46,Forward,Signed,Homegrown,
Daniel,42,Goalkeeper,Senior,International,
J. Ebobisse,11,Forward,Senior,,
C. Espinoza,10,Midfielder,Senior,Designated Player,
C. Gruezo,7,Midfielder,Senior,Designated Player,
I. Harkes,,Midfielder,,,
P. Judd,19,Forward,Supplemental Slots 21-24,,
M. Kaye,,Midfielder,Senior,,
B. Kikanović,28,Forward,Senior,,
N. Lima,,Defender,Senior,,
H. López,23,Midfielder,,,
J. Marcinkowski,1,Goalkeeper,Senior,Homegrown,Season Ending Injury
P. Marie,3,Defender,Senior,,
C. Medina,99,Midfielder,Signed,Homegrown,
E. Mendoza,38,Midfielder,Signed,Homegrown,
A. Morales,6,Midfielder,Senior,,
D. Munie,24,Defender,Supplemental Slots 25-28,,
E. Ochoa,41,Goalkeeper,Signed,Homegrown,Unavailable
A. Pellegrino,9,Forward,Senior,International,
W. Richmond,20,Forward,Supplemental Slots 25-28,Homegrown,
J. Ricketts,2,Defender,,,
Rodrigues,26,Defender,Senior,International,
D. Romney,,Defender,Senior,,
J. Skahan,16,Midfielder,Supplemental Slots 21-24,,
T. Thompson,22,Defender,Supplemental Slots 21-24,Homegrown,
N. Tsakiris,30,Midfielder,Supplemental Slots 29-30,Homegrown,
O. Verhoeven,33,Defender,Signed,Homegrown,
C. Walls,77,Defender,Signed,Homegrown,Unavailable
B. Wilson,4,Defender,Senior,International,
W. Yarbrough,25,Goalkeeper,Senior,,
