Player,Jersey #,Position,Roster Category,Player Category,Player Status
C. Arango,9,Forward,Senior,"Designated Player, International",
G. Beavers,35,Goalkeeper,Supplemental Slots 25-28,Homegrown,Unavailable
M. Bell,12,Forward,,,
A. Brody,2,Defender,Supplemental Slots 21-24,Homegrown,
L. Brook,17,Midfielder,,,
J. Brown,91,Defender,Senior,,
N. Caliskan,92,Midfielder,Supplemental Slots 25-28,International,
M. Crooks,25,Midfielder,,,
E. Eneli,14,Midfielder,Supplemental Slots 25-28,,
Z. Farnsworth,32,Defender,,Homegrown,
J. Glad,15,Defender,Senior,Homegrown,
D. Gonçalves,10,Midfielder,,,
Z. Gozo,72,Midfielder,,,
B. Hidalgo,19,Midfielder,Supplemental Slots 25-28,Homegrown,
A. Julio,29,Forward,Senior,International,
A. Katranis,98,Defender,,,
Axel Kei,21,Forward,Supplemental Slots 25-28,Homegrown,Unavailable
D. Luna,8,Midfielder,Supplemental Slots 21-24,Homegrown,
Z. MacMath,18,Goalkeeper,Senior,,
D. Marczuk,11,Midfielder,,,
L. Moisa,34,Midfielder,,,
B. Ojeda,6,Midfielder,Senior,International,
N. Palacio,13,Midfielder,Senior,"U22 Initiative, International",
P. Quinton,26,Defender,,,
L. Rivera,37,Defender,,Homegrown,
P. Ruiz,7,Midfielder,Senior,,
T. Silva,33,Defender,,,
B. Vera,4,Defender,Senior,,Unavailable
J. Wellings,38,Midfielder,Supplemental Slots 25-28,Homegrown,Unavailable
