Player,Jersey #,Position,Roster Category,Player Category,Player Status
L. Abada,11,Forward,,,
P. Agyemang,33,Forward,Supplemental Slots 25-28,,
B. Bender,15,Midfielder,Supplemental Slots 21-24,Generation adidas,Loaned Out
N. Berchimas,27,Forward,,,
D. Bingham,22,Goalkeeper,Supplemental Slots 21-24,,
B. Bronico,13,Midfielder,Senior,,
N. Byrne,14,Defender,Senior,,
B. Cambridge,36,Midfielder,Supplemental Slots 29-30,Homegrown,
B. Carmona Romero,41,Forward,,,
D. Diani,28,Midfielder,,,
J. Forbes,40,Defender,,,
K. Kahlina,1,Goalkeeper,Senior,International,
A. Malanda,29,Defender,Senior,International,
G. Marks,31,Goalkeeper,Signed,,
J. Neeley,39,Defender,Supplemental Slots 29-30,Homegrown,
C. Odunze,26,Goalkeeper,,,
N. Petkovic,23,Midfielder,,,
A. Privett,34,Midfielder,Supplemental Slots 25-28,,
T. Ream,3,Defender,,,
João Pedro,20,Defender,,,
N. Scardina,35,Midfielder,Supplemental Slots 31,,Loaned Out
T. Smalls,25,Forward,,,
K. Swiderski,9,Forward,Senior,"International, Designated Player",
Iuri Tavares,38,,,,
I. Toklomati,17,Forward,,,
B. Tuiloma,6,Defender,Senior,,
J. Uronen,21,Defender,Senior,International,
K. Vargas,18,Forward,Senior,"International, U22 Initiative",
A. Westwood,8,Midfielder,,,
