Player,Jersey #,Position,Roster Category,Player Category,Player Status
R. Alm,21,Midfielder,Senior,International,
S. Becher,11,Forward,Drafted,,
N. Blom,6,Midfielder,Senior,International,
R. Bürki,1,Goalkeeper,Senior,,Unavailable
C. Durkin,8,Midfielder,Supplemental Slots 25-28,"Homegrown, U22 Initiative",
J. Girdwood-Reich,3,Midfielder,,,
C. Glover,46,Forward,,Homegrown,
M. Hartel,17,Midfielder,,"Designated Player, International",
K. Hiebert,22,Defender,Senior,,Unavailable
J. Horn,38,Defender,,,
H. Kessler,5,Defender,Senior,,
H. Kijima,85,Midfielder,,,
João Klauss,9,Forward,Senior,"Designated Player, International",
B. Lundt,39,Goalkeeper,Supplemental Slots 21-24,,
E. Löwen,10,Midfielder,Senior,"Designated Player, International",
J. Nerwinski,2,Defender,Senior,,
J. Nilsson,4,Defender,Senior,International,Injured List
T. Ostrak,7,Midfielder,Ineligible - Injured List,International,Season Ending Injury
Célio Pompeu,12,Midfielder,Supplemental Slots 25-28,,
C. Teuchert,36,Forward,,,
N. Thórisson,29,Forward,Senior,International,
T. Totland,14,Defender,,,
I. Vassilev,19,Midfielder,Senior,,
A. Watts,20,Midfielder,Supplemental Slots 25-28,,
J. Yaro,15,Defender,Senior,,
