Player,Jersey #,Position,Roster Category,Player Category,Player Status
N. Acevedo,,Midfielder,,,Loaned Out
Thiago Andrade,,Forward,,,Loaned Out
J. Arroyave,99,Midfielder,,,
M. Bakrar,9,Forward,Senior,"U22 Initiative, International",
L. Barraza,1,Goalkeeper,Supplemental Slots 21-24,,
M. Carrizo,29,Midfielder,Signed,Homegrown,
J. Fernández,11,Forward,Senior,"International, U22 Initiative",
M. Freese,49,Goalkeeper,Supplemental Slots 25-28,Homegrown,
T. Gray,24,Defender,Senior,Homegrown,
J. Haak,80,Midfielder,Supplemental Slots 25-28,Homegrown,Loaned Out
Rio Hope-Gund,2,Defender,Supplemental Slots 25-28,,
M. Ilenic,35,Defender,Senior,International,
M. Jones,88,Forward,,,
Talles Magno,43,Forward,Senior,Young Designated Player,
Thiago,13,Defender,Senior,"International, Designated Player",
A. Martínez,16,Forward,Senior,International,
C. McFarlane,18,Defender,Signed,Homegrown,Unavailable
J. Mijatović,7,Forward,,,
M. Moralez,27,Midfielder,Senior,International,
K. O'Toole,22,Forward,Signed,,
A. Ojeda,26,Forward,,,
K. Parks,55,Midfielder,Senior,,
A. Perea,8,Midfielder,Senior,,Loaned Out
A. Rando,44,Goalkeeper,,,
B. Risa,5,Defender,Senior,International,
Santiago Rodríguez,10,Midfielder,Senior,Young Designated Player,
T. Romero,30,Goalkeeper,Supplemental Slots 21-24,Homegrown,
J. Sands,6,Midfielder,Senior,Homegrown,
J. Shore,32,Midfielder,Signed,,
S. Tanasijević,12,Defender,,,
H. Wolf,17,Forward,,,
Z. Yañez,36,Forward,,,
