Player,Jersey #,Position,Roster Category,Player Category,Player Status
M. Amundsen,18,Defender,Senior,,
M. Arfsten,27,Forward,Supplemental Slots 25-28,,
E. Bush,24,Goalkeeper,Supplemental Slots 21-24,,
R. Camacho,4,Defender,Senior,International,
D. Chambost,7,Midfielder,,,
Y. Cheberko,21,Defender,Senior,International,
M. Farsi,23,Defender,Senior,International,
T. Habroune,16,Forward,,Homegrown,
N. Hagen,1,Goalkeeper,,,
Cucho Hernández,9,Forward,Senior,"Designated Player, International",
A. Herrera,2,Defender,,,
M. Hinestroza,11,Midfielder,Ineligible - On Loan,,Loaned Out
K. Hughes,22,Defender,Ineligible - On Loan,Homegrown,
AZ,13,Midfielder,Supplemental Slots 25-28,,Unavailable
D. Jones,5,Midfielder,Senior,,
D. Jones,12,Defender,Senior,,
A. Matan,20,Midfielder,Senior,"International, U22 Initiative",
Steven Moreira,31,Defender,Senior,,
C. Mrowka,29,Midfielder,,Homegrown,
D. Nagbe,6,Midfielder,Senior,Designated Player,
C. Ramírez,17,Forward,Senior,,
Abraham Romero,22,Goalkeeper,Supplemental Slots 25-28,,
D. Rossi,10,Forward,Senior,Designated Player,
J. Russell-Rowe,19,Forward,Supplemental Slots 21-24,Homegrown,
P. Schulte,28,Goalkeeper,Supplemental Slots 21-24,Generation adidas,
Y. Yeboah,14,Midfielder,Senior,International,
S. Zawadzki,25,Midfielder,Supplemental Slots 29-30,Homegrown,
