Player,Jersey #,Position,Roster Category,Player Category,Player Status
E. Atuesta,20,Midfielder,Senior,,
M. Bogusz,19,Midfielder,Senior,International,
D. Bouanga,99,Forward,Senior,Designated Player,
O. Campos,2,Defender,,,
L. Dellavalle,15,Defender,,,
E. Dueñas,18,Defender,Supplemental Slots 21-24,Homegrown,
O. Giroud,9,Forward,,,
M. González,9,Forward,Senior,International,Loaned Out
T. Hasal,12,Goalkeeper,Senior,Homegrown,Season Ending Injury
R. Hollingshead,24,Defender,Senior,,
Kei Kamara,23,Forward,Senior,,
H. Lloris,1,Goalkeeper,,,
A. Long,33,Defender,Senior,,
D. Martínez,30,Midfielder,,,
J. Murillo,3,Defender,Senior,,
T. Musto,36,Midfielder,,,
L. O'Brien,8,Midfielder,Senior,,
D. Ochoa,31,Goalkeeper,Supplemental Slots 25-28,Homegrown,
C. Olivera,13,Midfielder,Senior,"International, U22 Initiative",
N. Ordaz,27,Forward,Supplemental Slots 29-30,Homegrown,
S. Palencia,14,Defender,Senior,International,
E. Segura,4,Defender,Senior,,Season Ending Injury
I. Sánchez,6,Midfielder,Senior,,
T. Tillman,11,Midfielder,Senior,,
C. Vela,10,Forward,Senior,,
A. Wibowo,77,Forward,,,
