Player,Jersey #,Position,Roster Category,Player Category,Player Status
A. Biello,38,Midfielder,,,
S. Breza,1,Goalkeeper,Supplemental Slots 21-24,,
D. Bugaj,27,Defender,,,
G. Campbell,24,Defender,Supplemental Slots 25-28,Homegrown,
C. Clark,23,Midfielder,Senior,,
M. Cóccaro,9,Forward,,,
B. Duke,10,Midfielder,Senior,Homegrown,
D. Iankov,8,Midfielder,,,
S. Ibrahim,14,Forward,Senior,"International, U22 Initiative",
O. Jabang,23,Midfielder,Supplemental Slots 25-28,,Loaned Out
J. Marshall-Rutty,11,Defender,Supplemental Slots 25-28,Homegrown,
K. Opoku,7,Forward,Senior,International,
T. Pearce,46,Defender,,,
S. Piette,6,Midfielder,Senior,,
N. Saliba,19,Midfielder,Supplemental Slots 29-30,Homegrown,
J. Sirois,40,Goalkeeper,Supplemental Slots 29-30,Homegrown,Professional
J. Vilsaint,28,Forward,Supplemental Slots 21-24,International,
J. Waterman,16,Defender,Senior,,
F. Álvarez,4,Defender,,,
