Player,Jersey #,Position,Roster Category,Player Category,Player Status
J. Adebayo-Smith,99,Forward,Supplemental Slots 25-28,,
M. Boxall,15,Defender,Senior,,
A. Bran,25,Midfielder,Senior,International,
E. Bristow,5,Defender,Senior,International,Loaned Out
J. Diaz,28,Defender,Senior,International,
H. Dotson,31,Midfielder,Senior,,
M. Duggan,23,Defender,Supplemental Slots 25-28,International,Loaned Out
C. Harvey,67,Midfielder,Supplemental Slots 25-28,,
B. Hlongwane,21,Forward,Senior,U22 Initiative,
Jeong Sang-Bin,11,Forward,Senior,"U22 Initiative, International",
K. Keller,14,Defender,Supplemental Slots 21-24,Generation adidas,
M. Kmeť,18,Defender,Senior,International,
R. Lod,17,Midfielder,Senior,,
A. Markanich,13,Defender,Signed,,
L. Mesanvi,90,Forward,,,
Tani Oluwaseyi,14,Forward,Supplemental Slots 25-28,International,
D. Padelford,2,Defender,Supplemental Slots 29-30,Homegrown,
J. Pereyra,26,Midfielder,,"Designated Player, International",
T. Pukki,22,Forward,Senior,"Designated Player, International",
J. Rosales,8,Midfielder,Supplemental Slots 21-24,,
S. Shashoua,19,Forward,Supplemental Slots 21-24,,
A. Smir,30,Goalkeeper,Senior,,
D. St. Clair,97,Goalkeeper,Senior,,
DJ Taylor,27,Defender,Senior,,
K. Yeboah,9,Forward,Senior,"Designated Player, International",
