Player,Jersey #,Position,Roster Category,Player Category,Player Status
L. Acosta,10,Midfielder,Senior,Designated Player,
L. Aghedo,34,Defender,Supplemental Slots 25-28,,
J. Akpunonu,3,Defender,Supplemental Slots 25-28,Generation adidas,Loaned Out
M. Angulo,8,Midfielder,Senior,"International, U22 Initiative",
Y. Asad,27,Midfielder,Senior,,
C. Baird,11,Forward,Senior,Homegrown,
Á. Barreal,31,Midfielder,Senior,U22 Initiative,
N. Benalcazar,41,Midfielder,Signed,Homegrown,Unavailable
P. Bucha,20,Midfielder,,,
R. Celentano,18,Goalkeeper,Supplemental Slots 21-24,Generation adidas,
I. Foster,33,Defender,Supplemental Slots 21-24,,
N. Gioacchini,9,Forward,Senior,,
T. Hadebe,16,Defender,Senior,"Designated Player, International",
N. Hagglund,4,Defender,Senior,,
B. Halsey,15,Defender,Supplemental Slots 21-24,Generation adidas,Loaned Out
S. Jimenez,37,Midfielder,Supplemental Slots 29-30,Homegrown,Unavailable
A. Kann,1,Goalkeeper,Senior,,
K. Kelsy,19,Forward,,,
Y. Kubo,7,Forward,Senior,International,
E. Louro,36,Goalkeeper,Supplemental Slots 21-24,,
K. Mboma Dem,35,Forward,,,
M. Miazga,21,Defender,Senior,,
O. Nwobodo,5,Midfielder,Senior,"International, Designated Player",
Q. Ordoñez,29,Forward,Supplemental Slots 29-30,Homegrown,
L. Orellano,23,Forward,,,
M. Pinto,26,Midfielder,,,
A. Powell,2,Defender,Senior,,
Miles Robinson,12,Defender,Senior,,
S. Santos,17,Forward,Senior,,
G. Valenzuela,22,Midfielder,Supplemental Slots 31,Homegrown,
P. Walters,25,Goalkeeper,Supplemental Slots 25-28,,
D. Yedlin,91,Defender,Senior,,
