Player,Jersey #,Position,Roster Category,Player Category,Player Status
L. Abram,4,Defender,Senior,,
T. Almada,10,Midfielder,Senior,"International, Designated Player",
L. Brennan,25,Midfielder,Supplemental Slots 25-28,,
N. Cobb,24,Defender,Supplemental Slots 29-30,Homegrown,
J. Cohen,22,Goalkeeper,,,
Nick Firmino,30,Midfielder,Supplemental Slots 25-28,,
A. Fortune,35,Midfielder,Supplemental Slots 29-30,Homegrown,
M. Gallardo,55,Midfielder,,,
A. Gordon,62,Forward,,,
S. Gregersen,5,Defender,Senior,,
B. Guzan,1,Goalkeeper,Senior,,
R. Hernández,2,Defender,Senior,International,
F. Ibarra,,Midfielder,Senior,U22 Initiative,Loaned Out
B. Lennon,11,Defender,Senior,,
S. Lobjanidze,9,Midfielder,Senior,"Designated Player, International",
D. McCarty,13,Midfielder,Senior,,
A. McFadden,14,Defender,Supplemental Slots 25-28,,Loaned Out
A. Miranchuk,59,Midfielder,,,
E. Morales,21,Defender,Supplemental Slots 29-30,Homegrown,
E. Mosquera,20,Midfielder,Senior,"International, U22 Initiative",
T. Muyumba,8,Midfielder,Senior,International,
D. Ríos,19,Forward,Senior,,
Xande Silva,16,Midfielder,Senior,International,
B. Slisz,6,Midfielder,Senior,,
S. Sosa,,Midfielder,Senior,U22 Initiative,Loaned Out
J. Thiaré,29,Forward,Senior,International,
A. Torres,23,Midfielder,Supplemental Slots 25-28,,
Q. Westberg,31,Goalkeeper,Senior,,
D. Williams,3,Defender,Senior,,
T. Wolff,28,Forward,Supplemental Slots 29-30,Homegrown,
