Player,Jersey #,Position,Roster Category,Player Category,Player Status
I. Aliyu,18,Forward,Senior,U22 Initiative,
S. Annor Gyamfi,19,Forward,,,
E. Arzu,33,Forward,,,
E. Bartlow,4,Defender,Senior,,
A. Bassi,8,Forward,Senior,,
C. Carrasquilla,20,Midfielder,Senior,International,
Artur,6,Midfielder,Senior,,
G. Dorsey,25,Defender,Senior,Generation adidas,
L. Ennali,37,Forward,,,
F. Escobar,2,Defender,Senior,,
S. Ferreira,11,Forward,Senior,"International, Designated Player",
S. Kowalczyk,27,Midfielder,Supplemental Slots 21-24,International,
E. Ponce,10,Forward,,,
N. Quiñones,7,Forward,Senior,International,
B. Raines,35,Midfielder,Signed,Homegrown,
S. Rodriguez,,Midfielder,,Homegrown,
K. Sargeant,23,Defender,,Homegrown,
G. Segal,17,Forward,Signed,,
E. Sviatchenko,28,Defender,Senior,International,
J. Valverde,30,Midfielder,,,
Micael,31,Defender,Senior,International,
