Player,Jersey #,Position,Roster Category,Player Category,Player Status
G. Biro,29,Defender,Senior,International,
O. Bukari,7,Forward,Senior,"Designated Player, International",
M. Burton,32,Midfielder,Supplemental Slots 25-28,Homegrown,
J. Cascante,18,Defender,Senior,,
S. Cleveland,30,Goalkeeper,Senior,,
M. Desler,3,Defender,Senior,International,
S. Driussi,10,Midfielder,Senior,Designated Player,
B. Farkarlun,26,Forward,,,
CJ Fodrey,19,Forward,Supplemental Slots 25-28,Generation adidas,
J. Gallagher,17,Defender,Senior,,
B. Hines-Ike,4,Defender,Senior,,
Ž. Kolmanič,23,Defender,Senior,U22 Initiative,Season Ending Injury
D. Las,12,Goalkeeper,Supplemental Slots 25-28,Homegrown,Loaned Out
J. Obrian,11,Forward,Senior,International,
D. Pereira,6,Midfielder,Supplemental Slots 21-24,"Generation adidas, International",
D. Rubio,14,Forward,Senior,,
B. Stuver,1,Goalkeeper,Senior,,
O. Svatok,21,Defender,,,
E. Torres,38,Defender,,,
L. Väisänen,15,Defender,Senior,International,
O. Wolff,33,Midfielder,Supplemental Slots 29-30,Homegrown,
