player_id,player_name,birth_date,nationality,primary_broad_position,primary_general_position,secondary_broad_position,secondary_general_position,season_name,height_ft,height_in,weight_lb,competition
KPqjKRARQ6,Tomás Chancalay,1999-01-01,Argentina,MF,W,,,"['2023', '2024']",5.0,10.0,163.0,mls
KPqjKWmyQ6,James Igbekeme,1995-07-04,Nigeria,FW,W,,,2022,5.0,7.0,146.0,mls
KPqjKWwPQ6,Brian Gutiérrez,2003-06-17,USA,MF,W,,,"['2020', '2021', '2022', '2023', '2024']",5.0,10.0,141.0,mls
KPqjKY48Q6,Laurence Wyke,1996-09-20,England,DF,CB,,FB,2020,6.0,1.0,183.0,mls
KPqjmAE56v,Stefan Marinovic,1991-10-07,New Zealand,GK,GK,,,"['2017', '2018']",6.0,4.0,212.0,mls
KPqjnyNq6v,Damir Kreilach,1989-04-16,Croatia,FW,ST,,,"['2018', '2019', '2020', '2021', '2022', '2023', '2024']",6.0,1.0,174.0,mls
KPqjo004Q6,Julian Büscher,1993-04-22,Germany,MF,CM,,,"['2016', '2017']",5.0,10.0,170.0,mls
KPqjo08PQ6,Evan Bush,1986-03-06,USA,GK,GK,,,"['2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2024']",6.0,1.0,187.0,mls
KPqjo6G2Q6,Eric Gehrig,1987-12-25,USA,DF,CB,,FB,"['2013', '2014', '2015', '2016']",6.0,1.0,176.0,mls
KPqjo9RNQ6,Dennis Iapichino,1990-07-27,Switzerland,DF,FB,,,2013,5.0,10.0,161.0,mls
KPqjoaX8Q6,Jorge Claros,1986-01-08,Honduras,MF,DM,,,2014,5.0,9.0,157.0,mls
KPqjodRYQ6,Júnior Moreno,1993-07-20,Venezuela,MF,CM,,DM,"['2018', '2019', '2020', '2021', '2022', '2023', '2024']",5.0,9.0,154.0,mls
KPqjodW4Q6,Dairon Asprilla,1992-05-25,Colombia,MF,W,,,"['2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']",5.0,10.0,154.0,mls
KPqjoEmyQ6,Matthew Fondy,1989-07-28,,MF,W,FW,ST,"['2013', '2014']",6.0,1.0,187.0,mls
KPqjoKayQ6,Kofi Sarkodie,1991-03-22,USA,DF,FB,,,"['2013', '2014', '2015', '2016', '2017']",5.0,9.0,165.0,mls
KPqjoKV8Q6,Matt Stinson,1992-09-09,Canada,,,,,{},5.0,10.0,165.0,mls
KPqjonZyQ6,Maxime Crépeau,1994-05-11,Canada,GK,GK,,,"['2017', '2019', '2020', '2021', '2022', '2023', '2024']",5.0,11.0,174.0,mls
KPqjoRG4Q6,Bright Dike,1987-02-02,Nigeria,FW,ST,,,"['2013', '2014', '2015']",6.0,1.0,225.0,mls
KPqjoVdYQ6,Romell Quioto,1991-08-09,Honduras,FW,ST,,,"['2017', '2018', '2019', '2020', '2021', '2022', '2023']",5.0,10.0,152.0,mls
KPqjovpEQ6,Ryan Finley,1991-03-27,USA,FW,ST,,,"['2013', '2014']",6.0,0.0,181.0,mls
KPqjoWKRQ6,Warren Creavalle,1990-08-14,USA,MF,DM,,,"['2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']",5.0,11.0,172.0,mls
KPqjoWOnQ6,Aaron Schoenfeld,1990-04-17,USA,FW,ST,,,"['2013', '2014', '2015', '2020']",6.0,4.0,192.0,mls
KPqjpnyM6v,Giovani dos Santos,1989-05-11,Mexico,FW,ST,MF,AM,"['2015', '2016', '2017', '2018']",5.0,10.0,157.0,mls
KPqjwAY2Q6,Tyson Pearce,2007-08-12,USA,,,,,{},,,,mls
KPqjwdw8Q6,Alonso Coello,1999-10-12,Spain,MF,CM,,DM,"['2023', '2024']",6.0,1.0,181.0,mls
KPqjwJA4Q6,Exon Arzú,2004-05-19,Honduras,,,,,{},,,,mls
KPqjwzYQ6v,DaMarcus Beasley,1982-05-24,USA,DF,FB,,,"['2014', '2015', '2016', '2017', '2018', '2019']",5.0,8.0,146.0,mls
KPqjXJnM6v,Daniel Antunez,1986-02-10,USA,MF,CM,,,2013,5.0,10.0,172.0,mls
KPqjZd8q6v,Gláuber,1983-08-05,Brazil,DF,CB,,,2013,6.0,3.0,170.0,mls
KPqjzJ2q6v,Maxi Moralez,1987-02-26,Argentina,MF,AM,,,"['2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']",5.0,3.0,119.0,mls
kRQa00gqKZ,Edgar Castillo,1986-10-08,USA,DF,FB,,,"['2018', '2019', '2020', '2021']",5.0,9.0,146.0,mls
kRQa207YMK,Paxton Pomykal,1999-12-17,USA,MF,CM,,,"['2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']",5.0,7.0,143.0,mls
kRQa22abMK,Bill Tuiloma,1995-03-27,New Zealand,DF,CB,,,"['2018', '2019', '2020', '2021', '2022', '2023', '2024']",6.0,0.0,172.0,mls
