Team,Slot Numbers,Unfilled Slots
ATL,10,1
ATX,7,0
CHI,7,1
CIN,7,0
CLB,10,0
CLT,14,0
COL,6,0
DCU,7,0
FCD,8,0
HOU,11,0
LAFC,14,0
LAG,13,0
MIA,14,0
MIN,11,0
MTL,10,0
NER,7,0
NSH,6,0
NYC,10,0
NYRB,10,0
ORL,8,0
PHI,6,0
POR,6,0
RSL,13,0
SEA,3,0
SJE,8,1
SKC,5,0
STL,12,0
TOR,12,0
VAN,13,0
