Player,Team,Current Season,Actual Salary %,Predicted Salary %,Raw Salary,Predicted Salary,Salary Cap,Difference,Actual Minutes
Lewis O'Brien,LAFC,2024,19.4631787677156,5.665959455165483,1600000,465778.7526106559,8220651,13.797219312550116,871.0
Facundo Torres,ORL,2024,18.976599298522707,8.28158738069234,1560000,680800.3958267587,8220651,10.695011917830367,2951.0
Victor Wanyama,MTL,2024,17.516860890944038,5.424775540361006,1440000,445951.86470644246,8220651,12.092085350583032,474.0
Diogo Gonçalves,RSL,2024,20.07140310420672,9.305426745437243,1650000,764966.6568030544,8220651,10.765976358769477,628.0
Dániel Gazdag,PHI,2024,19.4631787677156,11.24326785814558,1600000,924269.8116133232,8220651,8.21991090957002,2807.0
Paul Arriola,FCD,2024,18.854954431224485,5.177568695274292,1550000,425629.852723753,8220651,13.677385735950192,2747.0
Carlos Gruezo,SJE,2024,17.760150625540483,7.531458733553398,1460000,619134.9376944448,8220651,10.228691891987085,2175.0
Djordje Mihailovic,COL,2024,16.422057085260036,12.966628755233373,1350000,1065941.2964333796,8220651,3.455428330026665,2778.0
Alex Ring,ATX,2024,18.55084226297893,8.4859543552143,1525000,697600.691561468,8220651,10.064887907764628,2930.0
Robin Lod,MIN,2024,18.246730094733373,10.119034986180107,1500000,831850.5507817649,8220651,8.127695108553265,2669.0
Gastón Giménez,CHI,2024,19.4631787677156,7.565024627551798,1600000,621894.2726950832,8220651,11.898154140163802,1940.0
Alan Velasco,FCD,2024,15.20560841227781,5.683190296370215,1250000,467195.239930461,8220651,9.522418115907596,419.0
Miles Robinson,CIN,2024,17.417355389494094,7.729031557979419,1431820,635376.7100613507,8220651,9.688323831514676,2529.0
Kellyn Acosta,CHI,2024,16.935252451417774,5.357943977928431,1392188,440457.87520101335,8220651,11.577308473489342,2575.0
Cristian Roldan,SEA,2024,17.273571156347593,8.8953732150464,1420000,731257.587156444,8220651,8.378197941301194,3174.0
Darlington Nagbe,CLB,2024,17.03028142175115,11.351669078791778,1400000,933181.097642387,8220651,5.6786123429593705,2653.0
Nemanja Radoja,SKC,2024,17.516860890944038,9.186140414078416,1440000,755160.5438113414,8220651,8.330720476865622,2375.0
Matt Miazga,CIN,2024,18.55084226297893,5.433539926246515,1525000,446672.35428238334,8220651,13.117302336732417,1593.0
Hannes Wolf,NYC,2024,17.03028142175115,7.80963111922329,1400000,642002.5186987405,8220651,9.220650302527858,2842.0
Jordi Alba,MIA,2024,15.20560841227781,10.222268158074932,1250000,840336.9895594685,8220651,4.9833402542028775,2558.0
Luis Suárez,MIA,2024,18.246730094733373,20.569585444806386,1500000,1690953.8315643305,8220651,-2.322855350073013,2165.0
Dante Vanzeir,NYRB,2024,16.422057085260036,7.953041789865541,1350000,653791.8094289994,8220651,8.469015295394495,2293.0
João Paulo,SEA,2024,17.03028142175115,9.768740916360516,1400000,803054.0978282,8220651,7.261540505390633,1420.0
Felipe Mora,POR,2024,15.509720580523368,11.79655723244375,1275000,969753.8000944594,8220651,3.713163348079618,2109.0
Rafael Navarro,COL,2024,16.93296552791257,8.965364620326662,1392000,737011.3363145299,8220651,7.967600907585909,3063.0
Obinna Nwobodo,CIN,2024,15.935477616067145,7.674415421251923,1310000,630886.9080713005,8220651,8.26106219481522,2762.0
Kelvin Yeboah,MIN,2024,14.901496244032256,5.499441662127762,1225000,452089.90599212254,8220651,9.402054581904494,786.0
Lewis Morgan,NYRB,2024,15.20560841227781,11.44981516020792,1250000,941249.3444657838,8220651,3.755793252069891,2717.0
Gastón Brugman,LAG,2024,14.597384075786698,11.380460045720456,1200000,935547.9025531192,8220651,3.2169240300662416,1385.0
João Klauss,STL,2024,14.962318677681369,9.415944535997072,1230000,774051.9386578887,8220651,5.546374141684296,2186.0
Martín Rodríguez,DCU,2024,13.380935402804472,6.211034438365676,1100000,510587.4646678523,8220651,7.169900964438796,1460.0
Eduard Löwen,STL,2024,14.597384075786698,14.190817518705812,1200000,1166577.5822596643,8220651,0.406566557080886,2106.0
Andreas Maxsø,COL,2024,13.989159739295587,8.338569785013428,1150000,685484.7204174042,8220651,5.650589954282159,3466.0
Rafael Czichos,CHI,2024,15.813832748768924,8.908717220928018,1300000,732354.5513093914,8220651,6.9051155278409055,2685.0
Santiago Rodríguez,NYC,2024,14.597384075786698,12.451785230368548,1200000,1023617.8070581442,8220651,2.145598845418151,3172.0
Justen Glad,RSL,2024,13.989159739295587,8.014434174154085,1150000,658838.6630819396,8220651,5.974725565141503,2574.0
Richie Laryea,TOR,2024,12.042841862524028,4.75316040821358,990000,390740.7286294137,8220651,7.289681454310449,1018.0
Diego Fagundez,LAG,2024,15.20560841227781,8.441178378533573,1250000,693919.8147867039,8220651,6.764430033744237,1899.0
Josef Martínez,MTL,2024,15.92442009762974,12.902753160895498,1309091,1060690.3067486873,8220651,3.021666936734242,1528.0
Aaron Long,LAFC,2024,15.324333802760876,6.794883295872959,1259760,558583.6416110133,8220651,8.529450506887917,2655.0
Dániel Sallói,SKC,2024,15.813832748768924,7.03501897538609,1300000,578324.3577502663,8220651,8.778813773382833,2349.0
Ilie Sánchez,LAFC,2024,15.423048612573384,8.32320009026616,1267875,684221.2314524661,8220651,7.099848522307223,2388.0
Marco Reus,LAG,2024,11.677907260629356,14.699054308274135,960000,1208357.9549836807,8220651,-3.02114704764478,403.0
Chidozie Awaziem,CIN,2024,13.137645668208028,9.005661960028135,1080000,740324.0399736725,8220651,4.131983708179893,599.0
Joakim Nilsson,STL,2024,13.806692438348254,7.7363301455199105,1135000,635976.701470984,8220651,6.070362292828343,1373.0
Felipe Carballo,NYRB,2024,12.407776464418694,5.013628598770935,1020000,412152.9095411488,8220651,7.394147865647759,503.0
Pedro de la Vega,SEA,2024,9.549122082910465,4.81899881548406,785000,396153.0743150785,8220651,4.730123267426405,740.0
Andrés Cubas,VAN,2024,12.77271106631336,6.521072103201759,1050000,536074.5790625765,8220651,6.2516389631116,2139.0
Duncan McGuire,ORL,2024,10.035701552103356,4.15702121805189,825000,341734.2063319949,8220651,5.878680334051467,1841.0
Jakob Glesnes,PHI,2024,12.164486729822247,8.09500729184376,1000000,665462.297887027,8220651,4.069479437978487,3182.0
Stian Gregersen,ATL,2024,12.164486729822247,8.423475154604299,1000000,692464.4945317298,8220651,3.741011575217948,1987.0
Bruno Wilson,SJE,2024,12.164486729822247,6.587844702991379,1000000,541563.7214549079,8220651,5.576642026830868,1160.0
Erik Thommy,SKC,2024,12.164486729822247,11.298730258856516,1000000,928829.1820119908,8220651,0.8657564709657315,2576.0
Cedric Teuchert,STL,2024,11.556262393331137,10.296786199145965,950000,846462.8576479546,8220651,1.259476194185174,840.0
Julian Gressel,MIA,2024,13.284458858550256,6.833698698050364,1092069,561774.5203582642,8220651,6.450760160499891,2521.0
James Sands,NYC,2024,12.164486729822247,4.948708585098675,1000000,406816.0617880001,8220651,7.215778144723572,2931.0
Kai Wagner,PHI,2024,10.643925888594469,8.503887585670274,875000,699074.9198502792,8220651,2.1400383029241947,3290.0
Keaton Parks,NYC,2024,10.948038056840025,7.378065424319805,900000,606525.0090850004,8220651,3.5699726325202192,2841.0
Sean Davis,NSH,2024,11.069682924138249,4.107783743049219,910000,337686.56535081303,8220651,6.96189918108903,1487.0
Hernán López,SJE,2024,10.33981372034891,5.5715896506893845,850000,458020.9403352934,8220651,4.768224069659526,1983.0
Tomás Chancalay,NER,2024,11.556262393331137,9.32380678914841,950000,766477.6160501967,8220651,2.232455604182727,1066.0
Jeremy Ebobisse,SJE,2024,10.455108725574169,6.423541714961338,859478,528056.9462263864,8220651,4.031567010612831,2117.0
Nicolás Freire,MIA,2024,4.865794691928899,8.958658006115064,400000,736460.008966278,8220651,-4.092863314186165,825.0
Gyasi Zardes,ATX,2024,12.164486729822247,6.838011267979505,1000000,562129.0416812699,8220651,5.326475461842742,1411.0
Johnny Russell,SKC,2024,12.164486729822247,9.519299848405288,1000000,782548.4181809278,8220651,2.64518688141696,1931.0
Osman Bukari,ATX,2024,12.164486729822247,6.05570134352631,1000000,497818.073053609,8220651,6.108785386295938,676.0
Matt Crooks,RSL,2024,12.164486729822247,11.43253838395268,1000000,939829.0809857897,8220651,0.7319483458695686,2083.0
Saba Lobjanidze,ATL,2024,10.948038056840025,10.041616632615362,900000,825486.258125261,8220651,0.9064214242246624,2728.0
Alessandro Schöpf,VAN,2024,10.948038056840025,10.068094465915603,900000,827662.9083932359,8220651,0.8799435909244195,2120.0
Martín Ojeda,ORL,2024,10.948038056840025,11.837564428207694,900000,973124.8585431,8220651,-0.8895263713676691,2127.0
Cristian Dájome,DCU,2024,10.948038056840025,6.527471773507022,900000,536600.6736235227,8220651,4.420566283333002,2303.0
Robin Jansson,ORL,2024,10.33981372034891,8.43946485947763,850000,693778.9523652964,8220651,1.900348860871281,3044.0
Mathías Laborda,VAN,2024,9.731589383857798,4.910617903199932,800000,403684.75976558425,8220651,4.8209714806578665,2166.0
Jackson Yueill,SJE,2024,10.948038056840025,7.283485183942989,900000,598749.8976086612,8220651,3.664552872897035,2688.0
Sergio Santos,CIN,2024,9.731589383857798,8.360080506077157,800000,687253.0417236369,8220651,1.3715088777806417,1114.0
Sam Adekugbe,VAN,2024,10.035701552103356,9.324657734286928,825000,766547.5692802357,8220651,0.7110438178164298,862.0
Amahl Pellegrino,SJE,2024,10.33981372034891,11.161175723887062,850000,917521.3037574792,8220651,-0.8213620035381517,1903.0
Dario Zuparic,POR,2024,8.940897746419353,9.391944354796276,735000,772078.9675220036,8220651,-0.451046608376922,2533.0
Raoul Petretta,TOR,2024,8.211028542630018,6.422055604171634,675000,527934.7782448914,8220651,1.788972938458384,2096.0
Rémi Walter,SKC,2024,10.948038056840025,9.85299880636203,900000,809980.6449051884,8220651,1.0950392504779938,1441.0
Brian Gutiérrez,CHI,2024,9.773058119119764,4.533921200977627,803409,372717.8385473793,8220651,5.239136918142137,2668.0
Alhassan Yusuf,NER,2024,9.731589383857798,9.085483635186252,800000,746885.901310775,8220651,0.6461057486715465,486.0
Jack Elliott,PHI,2024,9.731589383857798,10.282413592236905,800000,845281.3357943589,8220651,-0.5508242083791046,2695.0
Maya Yoshida,LAG,2024,9.731589383857798,10.871334143429404,800000,893694.4389751708,8220651,-1.139744759571606,3440.0
Matías Cóccaro,MTL,2024,9.731589383857798,8.366228124042962,800000,687758.4159414191,8220651,1.3653612598148364,1032.0
