NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Federico Bernardeschi,Designated Player,,2026,2028,Main
Alonso Coello,,,2024,2025,Main
Derrick Etienne Jr,,,2025,"2026, 2027",Main
Deybi Flores,TAM Player,,2025,2026,Main
Kobe Franklin,Homegrown Player,,2024,"2025, 2026",Main
Lorenzo Insigne,Designated Player,,June 2026,2026,Main
Sean Johnson,TAM Player,,2025,2026,Main
Richie Laryea,Designated Player,,2026,2027,Main
Kevin Long,,,2024,2025,Main
Matty Longstaff,,,2025,2026,Main
Cassius Mailula,U22 Initiative,Unavailable - On Loan,2026,2027,Main
Shane O'Neill,,,2024,2025,Main
Jonathan Osorio,TAM Player,,2026,,Main
Prince Owusu,TAM Player,,2024,2025,Main
Raoul Petretta,TAM Player,,2025,2026,Main
Gregory Ranjitsingh,,,2024,2025,Main
Sigurd Rosted,TAM Player,,2025,2026,Main
Brandon Servania,,,2024,2025,Main
Henry Wingo,,,2026,2027,Main
Nathaniel Edwards,,,2025,"2026, 2027",Supplemental
Luka Gavran,,,2024,2025,Supplemental
Nicksoen Gomis,,,2025,"2026, 2027",Supplemental
Deandre Kerr,Homegrown Player,,2024,"2025, 2026",Supplemental
Aime Mabika,,,2024,2025,Supplemental
Hugo Mbongue,Homegrown Player,Unavailable - On Loan,2025,2026,Supplemental
Adam Pearlman,Homegrown Player,,2027,2028,Supplemental
Charlie Sharp,,,2025,"2026, 2027",Supplemental
Tyrese Spicer,,,2024,"2025, 2026, 2027",Supplemental
Kosi Thompson,Homegrown Player,,2024,"2025, 2026",Supplemental
Luke Singh,Homegrown Player,Unavailable - On Loan,2024,2025,Supplemental31
Lazar Stefanovic,Homegrown Player,,2028,2029,Off
