NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Iván Angulo,,,2025,2026,Main
César Araújo,TAM Player,,2024,2025,Main
David Brekalo,TAM Player,,2027,2028,Main
Wilder Cartagena,,,2025,,Main
Ramiro Enrique,U22 Initiative,,2025,"2026, 2027",Main
Felipe,,,2024,,Main
Pedro Gallese,TAM Player,,2024,2025,Main
Heine Gikling Bruseth,U22 Initiative,,2026,"2027, 2028",Main
Gastón González,U22 Initiative,Unavailable - On Loan,2024,"2025, 2026, 2027",Main
Michael Halliday,,,2025,"2026, 2027",Main
Robin Jansson,,,2025,2026,Main
Nicolás Lodeiro,TAM Player,,2024,2025,Main
Duncan McGuire,,,2027,2028,Main
Luis Muriel,Designated Player,,2026,,Main
Martín Ojeda,Designated Player,,2025,"2026, 2027",Main
Rafael Santos,,,2024,"2025, 2026",Main
Rodrigo Schlegel,,,2024,"2025, 2026",Main
Kyle Smith,,,2023,2024,Main
Dagur Dan Thórhallsson,,,2026,2027,Main
Facundo Torres,Designated Player,,2026,"2027, 2028",Main
Alexander Freeman,Homegrown Player,,2025,2026,Supplemental
Jeorgio Kocevski,,,2024,"2025, 2026, 2027",Supplemental
Favian Loyola,Homegrown Player,,2025,"2026, 2027",Supplemental
Jack Lynn,,,2024,2025,Supplemental
Shakur Mohammed,Generation adidas,,2025,"2026, 2027",Supplemental
Javier Otero,Homegrown Player,,2024,"2025, 2026",Supplemental
Luca Petrasso,Homegrown Player,,2024,2025,Supplemental
Mason Stajduhar,Homegrown Player,Unavailable - SEI,2025,2026,Supplemental
Yutaro Tsukada,,,2025,"2026, 2027",Supplemental
Thomas Williams,Homegrown Player,,2024,2025,Supplemental
Tahir Reid-Brown,Homegrown Player,,2027,2028,Off
Abdi Salim,,Unavailable - On Loan,2024,"2025, 2026",Off
