NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Kellyn Acosta,TAM Player,,2026,2027,Main
Allan Arigoni,,Loan Player,2024,"PT: 2025; 2026, 2027",Main
Tom Barlow,,,2025,2026,Main
Chris Brady,Homegrown Player,,2026,2027,Main
Hugo Cuypers,Designated Player,,2026,2027,Main
Rafael Czichos,TAM Player,,2024,,Main
Gastón Giménez,Designated Player,,2025,,Main
Brian Gutiérrez,U22 Initiative,,2028,,Main
Andrew Gutman,,,2026,2027,Main
Maren Haile-Selassie,,,2026,,Main
Fabian Herbers,,,2024,,Main
Georgios Koutsias,U22 Initiative,,2026,2027,Main
Ariel Lassiter,,,2024,,Main
Chris Mueller,TAM Player,,2025,2026,Main
Federico Navarro,U22 Initiative,,2027,2028,Main
Wyatt Omsberg,,,2024,,Main
Mauricio Pineda,Homegrown Player,,2026,2027,Main
Tobias Salquist,TAM Player,,2025,2026,Main
Arnaud Souquet,TAM Player,,2025,,Main
Carlos Terán,,,2026,2027,Main
Victor Bezerra,Homegrown Player,Unavailable - On Loan,2024,2025,Supplemental
Javier Casas,Homegrown Player,,2024,"2025, 2026",Supplemental
Jonathan Dean,,,2024,2025,Supplemental
Bryan Dowd,,Unavailable - On Loan,2024,"2025, 2026, 2027",Supplemental
Jeffrey Gal,,,2024,2025,Supplemental
Chase Gasper,,,2025,,Supplemental
Sergio Oregel,Homegrown Player,,2025,2026,Supplemental
Justin Reynolds,Homegrown Player,,2026,2027,Supplemental
Spencer Richey,,,2024,,Supplemental
Missael Rodríguez,Homegrown Player,Unavailable - On Loan,2025,2026,Supplemental
Laurence Wootton,,Unavailable - On Loan,2024,"2025, 2026, 2027",Supplemental31
