NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Antony,U22 Initiative,,2026,2027,Main
Miguel Araujo,TAM Player,,2025,2026,Main
Maximiliano David Ayala,U22 Initiative,,2025,2026,Main
Claudio Bravo,TAM Player,,2026,2027,Main
Diego Chara,TAM Player,,2024,,Main
Maxime Crépeau,,,2025,2026,Main
Evander,Designated Player,,2026,2027,Main
Marvin Loría,,,2024,2025,Main
Zac McGraw,,,2025,2026,Main
Kamal Miller,TAM Player,,2026,2027,Main
Felipe Mora,TAM Player,,2025,2026,Main
Santiago Moreno,U22 Initiative,,2026,2027,Main
Juan Mosquera,TAM Player,,2027,2028,Main
Cristhian Paredes,,,2025,2026,Main
Jonathan Rodríguez,Designated Player,,2026,2027,Main
Finn Surman,,,2026,2027,Main
Mason Toye,,,2024,2025,Main
Eryk Williamson,Homegrown Player,,2025,,Main
Dario Zuparic,TAM Player,,2025,,Main
Tega Ikoba,Homegrown Player,,2024,"2025, 2026",Supplemental
Eric Miller,,,2025,,Supplemental
Trey Muse,,,2025,2026,Supplemental
James Pantemis,,,2025,2026,Supplemental
Hunter Sulte,Homegrown Player,Unavailable - On Loan,2024,2025,Supplemental
