NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Xavier Arreaga,TAM Player,,2024,2025,Main
Emmanuel Boateng,,,2024,2025,Main
Dylan Borrero,U22 Initiative,,2024,2025,Main
Brandon Bye,,,2024,2025,Main
Tomás Chancalay,Designated Player,Unavailable - SEI,2026,2027,Main
Andrew Farrell,TAM Player,,2024,2025,Main
Carles Gil,Designated Player,,2026,2027,Main
Nacho Gil,,,2024,2025,Main
lan Harkes,,,2025,,Main
Mark-Anthony Kaye,TAM Player,,2025,2026,Main
Luca Langoni,U22 Initiative,,2027,2028,Main
Nick Lima,,,2024,,Main
Tommy McNamara,,,2024,2025,Main
Jonathan Mensah,,,2024,2025,Main
Tim Parker,TAM Player,,2024,,Main
Matt Polster,,,2024,2025,Main
Dave Romney,TAM Player,,2024,2025,Main
Will Sands,,,2024,2025,Main
Giacomo Vrioni,Designated Player,,2025,2026,Main
Bobby Wood,,,2024,,Main
Alhassan Yusuf,TAM Player,,2027,2028,Main
Esmir Bajraktarevic,Homegrown Player,,2025,2026,Supplemental
Noel Buck,Homegrown Player,Unavailable - On Loan,2025,2026,Supplemental
Earl Edwards Jr.,,,2024,2025,Supplemental
Malcolm Fry,Homegrown Player,,2026,2027,Supplemental
Aljaž Ivačič,,,2025,2026,Supplemental
Peyton Miller,Homegrown Player,,2027,2028,Supplemental
Jack Panayotou,Homegrown Player,Unavailable - On Loan,2026,2027,Supplemental
Damian Rivera,Homegrown Player,Unavailable - On Loan,2024,,Supplemental
Ryan Spaulding,,,2024,,Supplemental
Santiago Suárez,Homegrown Player,,2026,2027,Supplemental
