NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Luciano Acosta,Designated Player,,2026,2027,Main
Marco Angulo,U22 Initiative,Unavailable - On Loan,2025,"2026, 2027",Main
Chidozie Awaziem,TAM Player,,2025,"2026, 2027",Main
Corey Baird,TAM Player,,2025,2026,Main
Álvaro Barreal,TAM Player,Unavailable - On Loan,2024,2025,Main
Pavel Bucha,TAM Player,,2026,2027,Main
Roman Celentano,,,2027,,Main
Isaiah Foster,,,2024,"2025, 2026",Main
Nicholas Gioacchini,Designated Player,Loan Player,2024,,Main
Teenage Hadebe,TAM Player,,2025,2026,Main
Nick Hagglund,,,2024,,Main
Alec Kann,,,2025,,Main
Kevin Kelsy,U22 Initiative,Loan Player,2024,"PT: 2027; 2028, 2029",Main
Yuya Kubo,TAM Player,,2025,2026,Main
Evan Louro,,,2025,2026,Main
Matt Miazga,TAM Player,Unavailable - SEI,2025,2026,Main
Obinna Nwobodo,Designated Player,,2024,2025,Main
Luca Orellano,TAM Player,Loan Player,2024,PT: 2026; 2027,Main
Alvas Powell,,,2025,2026,Main
Miles Robinson,TAM Player,,2024,2025,Main
Sergio Santos,TAM Player,,2024,"2025, 2026",Main
DeAndre Yedlin,TAM Player,,2025,2026,Main
London Aghedo,,,2024,"2025, 2026",Supplemental
Yamil Asad,,,2024,2025,Supplemental
Bret Halsey,,,2024,"2025, 2026",Supplemental
Stiven Jimenez,Homegrown Player,,2025,"2026, 2027",Supplemental
Kipp Keller,,,2024,"2025, 2026",Supplemental
lan Murphy,,,2026,2027,Supplemental
Quimi Ordoñez,Homegrown Player,Unavailable - On Loan,2024,2025,Supplemental
Malik Pinto,,,2024,"2025, 2026",Supplemental
Gerardo Valenzuela,Homegrown Player,,2026,"2027, 2028",Supplemental
Paul Walters,Homegrown Player,,2026,2027,Supplemental
Joey Akpunonu,Generation adidas,Unavailable - On Loan,2024,"2025, 2026",Supplemental31
