NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Rasmus Alm,,,2025,2026,Main
Simon Becher,,Loan Player,June 2025,PT: 2026; 2027,Main
Njabulo Blom,,Unavailable - On Loan,2025,2026,Main
Roman Bürki,Designated Player,,2025,,Main
Chris Durkin,U22 Initiative,,2024,"2025, 2026",Main
Jake Girdwood-Reich,U22 Initiative,,2027,2028,Main
Marcel Hartel,Designated Player,,June 2028,2028,Main
Kyle Hiebert,,,2026,2027,Main
Jannes Horn,,Loan Player,June 2025,PT: June 2026; 2026,Main
Henry Kessler,TAM Player,,2025,2026,Main
João Klauss,Designated Player,,2025,2026,Main
Eduard Löwen,TAM Player,,2026,2027,Main
Ben Lundt,,,2024,2025,Main
Jake Nerwinski,,,2024,2025,Main
Joakim Nilsson,TAM Player,,2026,2027,Main
Tomas Ostrak,TAM Player,Unavailable - SEI,2026,2027,Main
Selmir Pidro,,Unavailable - On Loan,2025,,Main
Cedric Teuchert,TAM Player,,June 2026,2026,Main
Nökkvi Thórisson,,,2025,2026,Main
Tomas Totland,,,2026,2027,Main
Indiana Vassilev,,,2024,"2025, 2026",Main
Caden Glover,Homegrown Player,,2027,,Supplemental
Hosei Kijima,,,2024,"2025, 2026, 2027",Supplemental
John Klein,,,2024,"2025, 2026",Supplemental
Christian Olivares,,,2025,"2026, 2027",Supplemental
Miguel Perez,Homegrown Player,Unavailable - On Loan,2025,"2026, 2027",Supplemental
Celio Pompeu,,Unavailable - SEI,2026,2027,Supplemental
Jayden Reid,,,2024,"2025, 2026",Supplemental
Akil Watts,,,2024,"2025, 2026",Supplemental
Michael Wentzel,,,2024,"2025, 2026",Supplemental
Josh Yaro,,,2024,,Supplemental
Tyson Pearce,Homegrown Player,,2027,2028,Off
