NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Guilherme Biro,,,2026,2027,Main
Osman Bukari,Designated Player,,2027,2028,Main
Julio Cascante,TAM Player,,2025,2026,Main
Stefan Cleveland,,,2025,2026,Main
Mikkel Desler,,,2027,2028,Main
Sebastián Driussi,Designated Player,,2025,2026,Main
Ethan Finlay,,,2024,2025,Main
Jon Gallagher,,,2026,2027,Main
Matt Hedges,TAM Player,,2024,"2025, 2026",Main
Brendan Hines-Ike,,,2025,2026,Main
Žan Kolmanič,U22 Initiative,,2025,2026,Main
Jáder Obrian,,,2026,2027,Main
Dani Pereira,,,2024,2025,Main
Alex Ring,TAM Player,,2024,2025,Main
Diego Rubio,,,2024,2025,Main
Brad Stuver,,,2025,2026,Main
Oleksandr Svatok,,,2027,2028,Main
Leo Väisänen,TAM Player,,2026,2027,Main
Jhojan Valencia,TAM Player,,2024,2025,Main
Gyasi Zardes,TAM Player,,2025,2026,Main
Matt Bersano,,,2024,2025,Supplemental
Micah Burton,Homegrown Player,,2027,2028,Supplemental
CJ Fodrey,Generation adidas,,2025,"2026, 2027",Supplemental
Hector Jimenez,,,2024,,Supplemental
Damian Las,Homegrown Player,Unavailable - On Loan,2026,2027,Supplemental
Owen Wolff,Homegrown Player,,2027,2028,Supplemental
