NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Lalas Abubakar,,,2024,2025,Main
Cole Bassett,U22 Initiative,,2027,,Main
Kévin Cabral,Designated Player,,2025,2026,Main
Remi Cabral,,Unavailable - On Loan,2024,2025,Main
Reggie Cannon,TAM Player,,2027,2028,Main
Daniel Chacón,,Unavailable - Injured List,2025,2026,Main
Omir Fernández,,,2026,2027,Main
Calvin Harris,,,2024,2025,Main
Jonathan Lewis,,,2024,,Main
Jasper Löffelsend,,,2025,2026,Main
Andreas Maxsø,TAM Player,,2025,2026,Main
Djordje Mihailovic,Designated Player,,2027,2028,Main
Miguel Navarro,,Unavailable - On Loan,2024,2025,Main
Rafael Navarro,Designated Player,,2027,2028,Main
Connor Ronan,,,2026,2027,Main
Keegan Rosenberry,,,2024,2025,Main
Zack Steffen,TAM Player,,2026,2027,Main
Sam Vines,TAM Player,,2027,,Main
Darren Yapi,,,2025,2026,Main
Sebastian Anderson,Homegrown Player,,2024,"2025, 2026",Supplemental
Ethan Bandré,,,2024,"2025, 2026",Supplemental
Adam Beaudry,Homegrown Player,,2027,"2028, 2029",Supplemental
Michael Edwards,Homegrown Player,,2024,2025,Supplemental
Wayne Frederick,,,2026,"2027, 2028",Supplemental
Nate Jones,,,2024,"2025, 2026, 2027",Supplemental
Oliver Larraz,Homegrown Player,,2024,2025,Supplemental
Kimani Stewart-Baynes,Generation adidas,,2026,"2027, 2028",Supplemental
Jackson Travis,Homegrown Player,,2025,"2026, 2027",Supplemental
