NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Tomás Ángel,,Unavailable - On Loan,2026,2027,Main
Eduard Atuesta,TAM Player,Loan Player,2024,PT: 2027,Main
Mateusz Bogusz,TAM Player,,2026,2027,Main
Dénis Bouanga,Designated Player,,2027,2028,Main
Omar Campos,U22 Initiative,,2027,2028,Main
Maxime Chanot,,,2025,,Main
Olivier Giroud,Designated Player,,2025,2026,Main
Thomas Hasal,,,2025,2026,Main
Ryan Hollingshead,,,2025,,Main
Hugo Lloris,,,2024,"2025, 2026",Main
Aaron Long,TAM Player,,2024,,Main
Marlon,TAM Player,,2024,Jun-25,Main
David Martínez,U22 Initiative,,2027,2028,Main
Jesús Murillo,TAM Player,,2024,,Main
Lewis O'Brien,TAM Player,Loan Player,2024,PT: 2027; 2028,Main
Cristian Olivera,U22 Initiative,,2026,2027,Main
Sergi Palencia,,,2024,2025,Main
Ilie Sánchez,TAM Player,,2024,,Main
Eddie Segura,,,2024,2026,Main
Timothy Tillman,TAM Player,,2025,2026,Main
Carlos Vela,,,2024,2025,Main
Luca Bombino,Homegrown Player,,2025,"2026, 2027",Supplemental
Lorenzo Dellavalle,,Unavailable - SEI,2026,2027,Supplemental
Érik Dueñas,Homegrown Player,,2024,,Supplemental
Kei Kamara,,,2024,2025,Supplemental
Luis Müller,,,2024,"2025, 2026",Supplemental
Tommy Musto,,,2024,"2025, 2026, 2027",Supplemental
David Ochoa,,,2024,"2025, 2026",Supplemental
Nathan Ordaz,Homegrown Player,,2025,2026,Supplemental
Diego Rosales,,,2024,"2025, 2026, 2027",Supplemental
Adrian Wibowo,Homegrown Player,,2024,"2025, 2026, 2027",Supplemental
Bajung Darboe,Homegrown Player,Unavailable - On Loan,2026,2027,Supplemental31
