NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Liel Abada,Young Designated Player,,2026,2027,Main
Ben Bender,,Unavailable - On Loan,2025,,Main
Pep Biel,Designated Player,Loan Player,2024,PT: 2026; 2027,Main
Brandt Bronico,,,2025,2026,Main
Nathan Byrne,TAM Player,,2024,2025,Main
Djibril Diani,,,2025,2026,Main
Kristijan Kahlina,TAM Player,,2024,2025,Main
Jaylin Lindsey,,,2024,2025,Main
Adilson Malanda,,,2026,2027,Main
Jamie Paterson,,,2024,2025,Main
João Pedro,,,2026,2027,Main
Nikola Petkovic,U22 Initiative,,2026,2027,Main
Tim Ream,TAM Player,,2026,2027,Main
Karol Swiderski,Designated Player,,2025,2026,Main
luri Tavares,,,2026,2027,Main
Idan Toklomati,U22 Initiative,,2027,2028,Main
Bill Tuiloma,,,2025,2026,Main
Jere Uronen,TAM Player,,2025,2026,Main
Júnior Urso,,,2024,2025,Main
Kerwin Vargas,U22 Initiative,,2027,2028,Main
Ashley Westwood,TAM Player,,2026,2027,Main
Patrick Agyemang,,,2024,"2025, 2026",Supplemental
Nimfasha Berchimas,Homegrown Player,,2026,2027,Supplemental
David Bingham,,,2025,,Supplemental
Brandon Cambridge,Homegrown Player,,2024,"2025, 2026",Supplemental
Hamady Diop,Generation adidas,Unavailable - On Loan,2024,"2025, 2026",Supplemental
Jahlane Forbes,,,2024,"2025, 2026, 2027",Supplemental
George Marks,,Unavailable - On Loan,2024,2025,Supplemental
Andrew Privett,,,2028,2029,Supplemental
Nicholas Scardina,,,2024,"2025, 2026",Supplemental
Tyger Smalls,,,2024,"2025, 2026, 2027",Supplemental
Chituru Odunze,31,Unavailable - On Loan,2027,2028,Supplenatal31
Jack Neeley,Homegrown Player,,2026,2027,Off
Brian Romero,Homegrown Player,,2026,2027,Off
