NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Sam Adekugbe,TAM Player,,2026,2027,Main
Stuart Armstrong,Designated Player,,2026,,Main
Sebastian Berhalter,,,2025,2026,Main
Tristan Blackmon,TAM Player,,2027,,Main
Déiber Caicedo,U22 Initiative,,2024,2025,Main
Andrés Cubas,Designated Player,,2026,2027,Main
Ryan Gauld,Designated Player,,2027,,Main
Bjørn Inge Utvik,,,2025,2026,Main
Damir Kreilach,,,2025,,Main
Mathias Laborda,TAM Player,,2025,2026,Main
Édier Ocampo,U22 Initiative,,2027,2028,Main
Fafa Picault,,,2024,2025,Main
Ryan Raposo,,,2024,,Main
Alessandro Schöpf,TAM Player,,2024,2025,Main
Yohei Takaoka,TAM Player,,2024,2025,Main
Ranko Veselinović,,,2026,2027,Main
Pedro Vite,U22 Initiative,,2025,,Main
Brian White,,,2025,2026,Main
SUPPLEMENTAL ROSTER,,,,,
Ali Ahmed,,,2025,2026,Supplemental
Max Anchor,Homegrown Player,,2025,"2026, 2027",Supplemental
Jeevan Badwal,Homegrown Player,,2027,"2028, 2029",Supplemental
Joe Bendik,,,2024,2025,Supplemental
Isaac Boehmer,Homegrown Player,,2024,2025,Supplemental
Giuseppe Bovalina,Special Discovery Player,,2026,"2027, 2028",Supplemental
Nicolas Fleuriau Chateau,,,2025,"2026, 2027",Supplemental
Belal Halbouni,,,2025,2026,Supplemental
Levonte Johnson,,,2024,2025,Supplemental
Ralph Priso,Homegrown Player,,2024,2025,Supplemental
SUPPLEMENTAL SPOT 31,,,,,Supplemental
J.C. Ngando,Generation adidas,Unavailable - On Loan,2024,"2025, 2026",Supplemental31
