NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Luis Abram,TAM Player,,2025,2026,Main
Pedro Amador,,,2026,2027,Main
Josh Cohen,,,2025,2026,Main
Stian Gregersen,TAM Player,,2027,2028,Main
Brad Guzan,,,2024,2025,Main
Ronald Hernández,,,2024,2025,Main
Franco Ibarra,U22 Initiative,Unavailable - On Loan,2024,2025,Main
Brooks Lennon,TAM Player,,2025,2026,Main
Saba Lobjanidze,TAM Player,,2026,,Main
Dax McCarty,,,2024,2025,Main
Alexey Miranchuk,Designated Player,,2027,2028,Main
Edwin Mosquera,U22 Initiative,,2025,2026,Main
Tristan Muyumba,TAM Player,,2026,2027,Main
Daniel Rios,,,2024,,Main
Xande Silva,TAM Player,,2025,2026,Main
Bartosz Slisz,Designated Player,,2028,,Main
Santiago Sosa,U22 Initiative,Unavailable - On Loan,2024,2025,Main
Jamal Thiaré,TAM Player,,2024,2025,Main
Quentin Westberg,,,2024,,Main
Derrick Williams,,,2025,2026,Main
Luke Brennan,Homegrown Player,,2027,2028,Supplemental
Noah Cobb,Homegrown Player,,2026,2027,Supplemental
Matthew Edwards,Homegrown Player,,2025,"2026, 2027",Supplemental
Nick Firmino,,,2024,"2025, 2026",Supplemental
Ajani Fortune,Homegrown Player,,2024,"2025, 2026",Supplemental
Efrain Morales,Homegrown Player,,2024,"2025, 2026",Supplemental
Adyn Torres,Homegrown Player,,2027,2028,Supplemental
Tyler Wolff,Homegrown Player,,2024,2025,Supplemental
Erik Centeno,Generation adidas,Unavailable - On Loan,2024,"2025, 2026",Supplemental31
