NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Michael Boxall,,,2024,,Main
Alejandro Bran,,Unavailable - On Loan,2025,"2026, 2027",Main
Ethan Bristow,,Unavailable - SEI,2025,2026,Main
Jefferson Diaz,,,2026,2027,Main
Derek Dodson,,Unavailable - On Loan,2024,"2025, 2026",Main
Hassani Dotson,,,2024,2025,Main
Franco Fragapane,TAM Player,,2024,,Main
Bongokuhle Hlongwane,U22 Initiative,,2024,2025,Main
Clint Irwin,,,2024,2025,Main
Sang Bin Jeong,U22 Initiative,,2025,2026,Main
Matúš Kmeť,,,2026,2027,Main
Robin Lod,TAM Player,,2025,2026,Main
Anthony Markanich Jr,,,2024,2025,Main
Mikael Marques,,Unavailable - On Loan,2025,2026,Main
Joaquín Pereyra,Designated Player,,2027,2028,Main
Teemu Pukki,Designated Player,,June 2025,2025,Main
Dayne St. Clair,,,2024,2025,Main
Miguel Tapias,TAM Player,,2025,2026,Main
DJ Taylor,,,2025,2026,Main
Wil Trapp,,,2024,2025,Main
Patrick Weah,Homegrown Player,Unavailable - On Loan,2024,2025,Main
Kelvin Yeboah,Designated Player,,2027,2028,Main
Jordan Adebayo-Smith,,,2026,2027,Supplemental
Hugo Bacharach,,,2024,"2025, 2026, 2027",Supplemental
Morris Duggan,,Unavailable - On Loan,2024,"2025, 2026, 2027",Supplemental
Carlos Harvey,,,2025,2026,Supplemental
Loïc Mesanvi,,,2025,"2026, 2027",Supplemental
Moses Nyeman,,,2024,"2025, 2026",Supplemental
Tanitoluwa Oluwaseyi,,,2024,2025,Supplemental
Devin Padelford,Homegrown Player,,2024,"2025, 2026",Supplemental
Joseph Rosales,,,2027,2028,Supplemental
Samuel Shashoua,,,2024,"2025, 2026",Supplemental
Zarek Valentin,,,2024,,Supplemental
