NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Ibrahim Aliyu,U22 Initiative,,2025,"2026, 2027",Main
Artur,TAM Player,,2025,"2026, 2027",Main
Exon Arzú,,,2026,"2027, 2028, 2029",Main
Ethan Bartlow,,,2025,2026,Main
Amine Bassi,TAM Player,,2024,"2025, 2026",Main
Latif Blessing,TAM Player,,2024,2025,Main
Adalberto Carrasquilla,TAM Player,,2025,"2026, 2027",Main
Steve Clark,TAM Player,,2024,2025,Main
Griffin Dorsey,,,2025,2026,Main
Lawrence Ennali,U22 Initiative,Unavailable - SEI,2026,2027,Main
Franco Escobar,,,2024,2025,Main
Sebastián Ferreira,Designated Player,,2025,2026,Main
Héctor Herrera,Designated Player,,2024,2025,Main
Sebastian Kowalczyk,TAM Player,,2024,"2025, 2026",Main
Micael,,,2024,"2025, 2026",Main
Junior Moreno,,,2024,2025,Main
Ezequiel Ponce,Designated Player,,June 2027,"2027, 2028",Main
Nelson Quiñones,U22 Initiative,Unavailable - SEI,2025,2026,Main
Brad Smith,,,2024," 2025, 2026",Main
Daniel Steres,,,2024,2025,Main
Erik Sviatchenko,Designated Player,,2024,2025,Main
Andrew Tarbell,,,2024,2025,Main
Stephen Annor Gyamfi,Generation adidas,Unavailable - On Loan,2025,"2026, 2027",Supplemental
McKinze Gaines,,,2024,,Supplemental
Ján Greguš,,,2024,2025,Supplemental
Brooklyn Raines,Homegrown Player,,2025,2026,Supplemental
Kieran Sargeant,Homegrown Player,,2025,"2026, 2027",Supplemental
Tate Schmitt,Homegrown Player,,2024,2025,Supplemental
Gabe Segal,,,2024,2025,Supplemental
Ousmane Sylla,,Unavailable - On Loan,2024,"2025, 2026, 2027",Supplemental
Xavier Valdez,Homegrown Player,,2024,2025,Supplemental
Jefferson Valverde,,,2025,"2026, 2027",Supplemental
