NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Fernando Álvarez,,,2025,"2026, 2027",Main
Dawid Bugaj,,,2026,"2027, 2028",Main
George Campbell,U22 Initiative,,2025,2026,Main
Matías Cóccaro,TAM Player,,2026,"2027, 2028",Main
Gabriele Corbo,,,2024,2025,Main
Bryce Duke,,,2025,2026,Main
Raheem Edwards,,,2024,2025,Main
Dominic lankov,TAM Player,,2026,"2027, 2028",Main
Sunusi Ibrahim,U22 Initiative,,2026,2027,Main
Lassi Lappalainen,TAM Player,,2024,2025,Main
Jahkeele Marshall-Rutty,,,2027,2028,Main
Josef Martínez,TAM Player,,2024,2025,Main
Kwadwo Opoku,TAM Player,,2026,2027,Main
Tom Pearce,,,2026,2027,Main
Samuel Piette,,,2025,2026,Main
Joaquín Sosa,U22 Initiative,Loan Player,2024,,Main
Róbert Thorkelsson,,Unavailable - On Loan,2024,2025,Main
Victor Wanyama,Designated Player,,2024,,Main
Joel Waterman,,,2024,2025,Main
Alessandro Biello,Homegrown Player,,2025,"2026, 2027, 2028",Supplemental
Sebastian Breza,,,2025,"2026, 2027",Supplemental
Caden Clark,,,2025,"2026, 2027",Supplemental
Grayson Doody,,Unavailable - On Loan,2024,"2025, 2026, 2027",Supplemental
Ilias Iliadis,,Unavailable - On Loan,2024,"2025, 2026",Supplemental
Ousman Jabang,,Unavailable - On Loan,2024,"2025, 2026",Supplemental
Logan Ketterer,,,2024,,Supplemental
Nathan Saliba,Homegrown Player,,2024,"2025, 2026",Supplemental
Jonathan Sirois,Homegrown Player,,2026,2027,Supplemental
Jules-Anthony Vilsaint,,,2024,"2025, 2026",Supplemental
Rida Zouhir,Homegrown Player,Unavailable - On Loan,2024,2025,Supplemental
Matteo Schiavoni,,Unavailable - On Loan,2024,"2025, 2026, 2027",Supplemental31
