File Name,NO.,NAME,Validation Link
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,1,Rudy Camacho,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8015&row=0&page=8
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,2,Dylan Chambost,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8015&row=1&page=8
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,3,Yevhen Cheberko,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8015&row=2&page=8
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,4,Mohamed Farsi,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8015&row=3&page=8
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,5,Cucho Hernández,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8015&row=4&page=8
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,6,Andrés Herrera,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8015&row=5&page=8
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,7,Marino Hinestroza*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8015&row=6&page=8
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,8,Alexandru Matan,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8015&row=7&page=8
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,9,Steven Moreira,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8015&row=8&page=8
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,10,Yaw Yeboah,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8015&row=9&page=8
