File Name,NO.,NAME,Validation Link
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,1,Iván Angulo,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=8ac15b53b92cc1c8&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8043&row=0&page=22
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,2,David Brekalo,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=8ac15b53b92cc1c8&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8043&row=1&page=22
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,3,Wilder Cartagena,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=8ac15b53b92cc1c8&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8043&row=2&page=22
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,4,Ramiro Enrique,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=8ac15b53b92cc1c8&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8043&row=3&page=22
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,5,Pedro Gallese,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=8ac15b53b92cc1c8&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8043&row=4&page=22
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,6,Heine Gikling Bruseth,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=8ac15b53b92cc1c8&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8043&row=5&page=22
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,7,Shakur Mohammed,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=8ac15b53b92cc1c8&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8043&row=6&page=22
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,8,Luis Muriel,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=8ac15b53b92cc1c8&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8043&row=7&page=22
