File Name,NO.,NAME,Validation Link
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,1,Tai Baribo,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8045&row=0&page=23
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,2,Jesús Bueno,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8045&row=1&page=23
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,3,Danley Jean Jacques,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8045&row=2&page=23
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,4,Olwethu Makhanya,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8045&row=3&page=23
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,5,Oliver Semmle,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8045&row=4&page=23
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,6,Joaquin Torres*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8045&row=5&page=23
