File Name,NO.,NAME,Validation Link
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,1,Matthew Bell*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8049&row=0&page=25
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,2,Lachlan Brook,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8049&row=1&page=25
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,3,Javain Brown,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8049&row=2&page=25
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,4,Noel Caliskan,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8049&row=3&page=25
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,5,Matt Crooks,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8049&row=4&page=25
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,6,Diogo Gonçalves,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8049&row=5&page=25
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,7,Bertin Jacquesson*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8049&row=6&page=25
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,8,Anderson Julio,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8049&row=7&page=25
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,9,Alexandros Katranis,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8049&row=8&page=25
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,10,Kevon Lambert*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8049&row=9&page=25
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,11,Dominik Marczuk,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8049&row=10&page=25
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,12,Braian Ojeda,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8049&row=11&page=25
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,13,Nelson Palacio,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8049&row=12&page=25
