File Name,NO.,NAME,Validation Link
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,1,Kévin Cabral,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8013&row=0&page=7
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,2,Remi Cabral*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8013&row=1&page=7
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,3,Daniel Chacón*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8013&row=2&page=7
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,4,Andreas Maxsø,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8013&row=3&page=7
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,5,Rafael Navarro,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8013&row=4&page=7
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,6,Connor Ronan,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8013&row=5&page=7
