File Name,NO.,NAME,Validation Link
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,1,Julián Aude,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8025&row=0&page=13
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,2,Aaron Bibout*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8025&row=1&page=13
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,3,Martín Cáceres,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8025&row=2&page=13
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,4,Emiro Garces,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8025&row=3&page=13
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,5,Dejan Joveljic,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8025&row=4&page=13
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,6,Novak Micovic,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8025&row=5&page=13
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,7,Joseph Paintsil,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8025&row=6&page=13
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,8,Gabriel Pec,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8025&row=7&page=13
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,9,Riqui Puig,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8025&row=8&page=13
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,10,Marco Reus,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8025&row=9&page=13
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,11,Gino Vivi*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8025&row=10&page=13
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,12,Miki Yamane,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8025&row=11&page=13
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,13,Maya Yoshida,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8025&row=12&page=13
