File Name,NO.,NAME,Validation Link
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,1,Dawid Bugaj,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8033&row=0&page=17
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,2,Matías Cóccaro,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8033&row=1&page=17
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,3,Gabriele Corbo+,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8033&row=2&page=17
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,4,Sunusi Ibrahim+,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8033&row=3&page=17
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,5,Lassi Lappalainen+,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8033&row=4&page=17
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,6,Kwadwo Opoku,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8033&row=5&page=17
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,7,Tom Pearce,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8033&row=6&page=17
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,8,Joaquín Sosa,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8033&row=7&page=17
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,9,Róbert Thorkelsson*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8033&row=8&page=17
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,10,Victor Wanyama,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8033&row=9&page=17
